handle,product_title,status,expected_image_filename,shopify_cdn_image_url,image_alt_text,match_status,notes
zarishk-imported,Zarishk - زرشک,active,Zarishk.png | Zarishk.jpg | Zarishk.jpeg | Zarishk.webp | zarishk.png | zarishk.jpg | zarishk.jpeg | zarishk.webp | Zarishk Imported.png | Zarishk Imported.jpg | Zarishk Imported.jpeg | Zarishk Imported.webp | Zarishk-Imported.png | Zarishk-Imported.jpg | Zarishk-Imported.jpeg | Zarishk-Imported.webp | zarishk-imported.png | zarishk-imported.jpg | zarishk-imported.jpeg | zarishk-imported.webp | Zarishk Pakistani.png | Zarishk Pakistani.jpg | Zarishk Pakistani.jpeg | Zarishk Pakistani.webp | Zarishk-Pakistani.png | Zarishk-Pakistani.jpg | Zarishk-Pakistani.jpeg | Zarishk-Pakistani.webp | zarishk-pakistani.png | zarishk-pakistani.jpg | zarishk-pakistani.jpeg | zarishk-pakistani.webp,,Morganics Zarishk - زرشک,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
kajo-roasted,Kajo Roasted - کاجو روسٹڈ,active,Kajo Roasted.png | Kajo Roasted.jpg | Kajo Roasted.jpeg | Kajo Roasted.webp | Kajo-Roasted.png | Kajo-Roasted.jpg | Kajo-Roasted.jpeg | Kajo-Roasted.webp | kajo-roasted.png | kajo-roasted.jpg | kajo-roasted.jpeg | kajo-roasted.webp,,Morganics Kajo Roasted - کاجو روسٹڈ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
hareer-sabaz,Hareer Sabaz - ہریر سبز,active,Hareer Sabaz.png | Hareer Sabaz.jpg | Hareer Sabaz.jpeg | Hareer Sabaz.webp | Hareer-Sabaz.png | Hareer-Sabaz.jpg | Hareer-Sabaz.jpeg | Hareer-Sabaz.webp | hareer-sabaz.png | hareer-sabaz.jpg | hareer-sabaz.jpeg | hareer-sabaz.webp,,Morganics Hareer Sabaz - ہریر سبز,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
kajo-fry,Kajo Fry - کاجو فرائی,active,Kajo Fry.png | Kajo Fry.jpg | Kajo Fry.jpeg | Kajo Fry.webp | Kajo-Fry.png | Kajo-Fry.jpg | Kajo-Fry.jpeg | Kajo-Fry.webp | kajo-fry.png | kajo-fry.jpg | kajo-fry.jpeg | kajo-fry.webp,,Morganics Kajo Fry - کاجو فرائی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
chasko-herb,Chasko Herb - چسکو ہرب,active,Chasko Herb.png | Chasko Herb.jpg | Chasko Herb.jpeg | Chasko Herb.webp | Chasko-Herb.png | Chasko-Herb.jpg | Chasko-Herb.jpeg | Chasko-Herb.webp | chasko-herb.png | chasko-herb.jpg | chasko-herb.jpeg | chasko-herb.webp,,Morganics Chasko Herb - چسکو ہرب,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
ginseng-white,Ginseng White - جنسنگ روٹ,active,Ginseng White.png | Ginseng White.jpg | Ginseng White.jpeg | Ginseng White.webp | Ginseng-White.png | Ginseng-White.jpg | Ginseng-White.jpeg | Ginseng-White.webp | ginseng-white.png | ginseng-white.jpg | ginseng-white.jpeg | ginseng-white.webp,,Morganics Ginseng White - جنسنگ روٹ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
ashwagandha,Ashwagandha - اشوگندھا,active,Ashwagandha.png | Ashwagandha.jpg | Ashwagandha.jpeg | Ashwagandha.webp | ashwagandha.png | ashwagandha.jpg | ashwagandha.jpeg | ashwagandha.webp,,Morganics Ashwagandha - اشوگندھا,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
gur,Gur - گڑ,active,Gur.png | Gur.jpg | Gur.jpeg | Gur.webp | gur.png | gur.jpg | gur.jpeg | gur.webp,,Morganics Gur - گڑ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
konch,Konch White - کونچ سفید,active,Konch.png | Konch.jpg | Konch.jpeg | Konch.webp | konch.png | konch.jpg | konch.jpeg | konch.webp | Konch White.png | Konch White.jpg | Konch White.jpeg | Konch White.webp | Konch-White.png | Konch-White.jpg | Konch-White.jpeg | Konch-White.webp | konch-white.png | konch-white.jpg | konch-white.jpeg | konch-white.webp,,Morganics Konch White - کونچ سفید,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
sarson-black,Sarson Black - سرسوں سیاہ,active,Sarson Black.png | Sarson Black.jpg | Sarson Black.jpeg | Sarson Black.webp | Sarson-Black.png | Sarson-Black.jpg | Sarson-Black.jpeg | Sarson-Black.webp | sarson-black.png | sarson-black.jpg | sarson-black.jpeg | sarson-black.webp,,Morganics Sarson Black - سرسوں سیاہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
luban,Luban - لوبان,active,Luban.png | Luban.jpg | Luban.jpeg | Luban.webp | luban.png | luban.jpg | luban.jpeg | luban.webp,,Morganics Luban - لوبان,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
musabbar,Musabbar - مصبر,active,Musabbar.png | Musabbar.jpg | Musabbar.jpeg | Musabbar.webp | musabbar.png | musabbar.jpg | musabbar.jpeg | musabbar.webp,,Morganics Musabbar - مصبر,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
munaqqa,Munaqqa,draft,Munaqqa.png | Munaqqa.jpg | Munaqqa.jpeg | Munaqqa.webp | munaqqa.png | munaqqa.jpg | munaqqa.jpeg | munaqqa.webp,,Morganics Munaqqa,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
badam-abdul-wahidi,Badam Abdul Wihidi - بادام عبدالوحیدی,active,Badam Abdul Wahidi.png | Badam Abdul Wahidi.jpg | Badam Abdul Wahidi.jpeg | Badam Abdul Wahidi.webp | Badam-Abdul-Wahidi.png | Badam-Abdul-Wahidi.jpg | Badam-Abdul-Wahidi.jpeg | Badam-Abdul-Wahidi.webp | badam-abdul-wahidi.png | badam-abdul-wahidi.jpg | badam-abdul-wahidi.jpeg | badam-abdul-wahidi.webp | Badam Abdul Wihidi.png | Badam Abdul Wihidi.jpg | Badam Abdul Wihidi.jpeg | Badam Abdul Wihidi.webp | Badam-Abdul-Wihidi.png | Badam-Abdul-Wihidi.jpg | Badam-Abdul-Wihidi.jpeg | Badam-Abdul-Wihidi.webp | badam-abdul-wihidi.png | badam-abdul-wihidi.jpg | badam-abdul-wihidi.jpeg | badam-abdul-wihidi.webp,,Morganics Badam Abdul Wihidi - بادام عبدالوحیدی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
sogi-big-kishmish-mewa,Sogi Gol Mewa - سوگی گول میوہ,active,Sogi Big Kishmish Mewa.png | Sogi Big Kishmish Mewa.jpg | Sogi Big Kishmish Mewa.jpeg | Sogi Big Kishmish Mewa.webp | Sogi-Big-Kishmish-Mewa.png | Sogi-Big-Kishmish-Mewa.jpg | Sogi-Big-Kishmish-Mewa.jpeg | Sogi-Big-Kishmish-Mewa.webp | sogi-big-kishmish-mewa.png | sogi-big-kishmish-mewa.jpg | sogi-big-kishmish-mewa.jpeg | sogi-big-kishmish-mewa.webp | Sogi Gol Mewa.png | Sogi Gol Mewa.jpg | Sogi Gol Mewa.jpeg | Sogi Gol Mewa.webp | Sogi-Gol-Mewa.png | Sogi-Gol-Mewa.jpg | Sogi-Gol-Mewa.jpeg | Sogi-Gol-Mewa.webp | sogi-gol-mewa.png | sogi-gol-mewa.jpg | sogi-gol-mewa.jpeg | sogi-gol-mewa.webp,,Morganics Sogi Gol Mewa - سوگی گول میوہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
pista-maghaz,Pista Maghaz - پستہ مغز,active,Pista Maghaz.png | Pista Maghaz.jpg | Pista Maghaz.jpeg | Pista Maghaz.webp | Pista-Maghaz.png | Pista-Maghaz.jpg | Pista-Maghaz.jpeg | Pista-Maghaz.webp | pista-maghaz.png | pista-maghaz.jpg | pista-maghaz.jpeg | pista-maghaz.webp,,Morganics Pista Maghaz - پستہ مغز,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
kajo-sada,Kajo Plain - کاجو سادہ,active,Kajo Plain.png | Kajo Plain.jpg | Kajo Plain.jpeg | Kajo Plain.webp | Kajo-Plain.png | Kajo-Plain.jpg | Kajo-Plain.jpeg | Kajo-Plain.webp | kajo-plain.png | kajo-plain.jpg | kajo-plain.jpeg | kajo-plain.webp | Kajo Sada.png | Kajo Sada.jpg | Kajo Sada.jpeg | Kajo Sada.webp | Kajo-Sada.png | Kajo-Sada.jpg | Kajo-Sada.jpeg | Kajo-Sada.webp | kajo-sada.png | kajo-sada.jpg | kajo-sada.jpeg | kajo-sada.webp | Kaju Sada.png | Kaju Sada.jpg | Kaju Sada.jpeg | Kaju Sada.webp | Kaju-Sada.png | Kaju-Sada.jpg | Kaju-Sada.jpeg | Kaju-Sada.webp | kaju-sada.png | kaju-sada.jpg | kaju-sada.jpeg | kaju-sada.webp | Plain Cashews.png | Plain Cashews.jpg | Plain Cashews.jpeg | Plain Cashews.webp | Plain-Cashews.png | Plain-Cashews.jpg | Plain-Cashews.jpeg | Plain-Cashews.webp | plain-cashews.png | plain-cashews.jpg | plain-cashews.jpeg | plain-cashews.webp,,Morganics Kajo Plain - کاجو سادہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
sikakai,Sikakai - سکاکائی,active,Sikakai.png | Sikakai.jpg | Sikakai.jpeg | Sikakai.webp | sikakai.png | sikakai.jpg | sikakai.jpeg | sikakai.webp,,Morganics Sikakai - سکاکائی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
harmal,Harmal - حرمل,active,Harmal.png | Harmal.jpg | Harmal.jpeg | Harmal.webp | harmal.png | harmal.jpg | harmal.jpeg | harmal.webp,,Morganics Harmal - حرمل,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
amla,Amla - آملہ,active,Amla.png | Amla.jpg | Amla.jpeg | Amla.webp | amla.png | amla.jpg | amla.jpeg | amla.webp,,Morganics Amla - آملہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
moringa,Moringa - مورنگا,active,Moringa.png | Moringa.jpg | Moringa.jpeg | Moringa.webp | moringa.png | moringa.jpg | moringa.jpeg | moringa.webp,,Morganics Moringa - مورنگا,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
satawar,Satawar - ستاور,active,Satawar.png | Satawar.jpg | Satawar.jpeg | Satawar.webp | satawar.png | satawar.jpg | satawar.jpeg | satawar.webp,,Morganics Satawar - ستاور,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
fruit-salt,Fruit Salt - فروٹ سالٹ,active,Fruit Salt.png | Fruit Salt.jpg | Fruit Salt.jpeg | Fruit Salt.webp | Fruit-Salt.png | Fruit-Salt.jpg | Fruit-Salt.jpeg | Fruit-Salt.webp | fruit-salt.png | fruit-salt.jpg | fruit-salt.jpeg | fruit-salt.webp,,Morganics Fruit Salt - فروٹ سالٹ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
til-black,Til Black - تل,active,Til Black.png | Til Black.jpg | Til Black.jpeg | Til Black.webp | Til-Black.png | Til-Black.jpg | Til-Black.jpeg | Til-Black.webp | til-black.png | til-black.jpg | til-black.jpeg | til-black.webp,,Morganics Til Black - تل,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
chilka-ispaghol,Chilka Ispaghol - چھلکا اسپغول,active,Chilka Ispaghol.png | Chilka Ispaghol.jpg | Chilka Ispaghol.jpeg | Chilka Ispaghol.webp | Chilka-Ispaghol.png | Chilka-Ispaghol.jpg | Chilka-Ispaghol.jpeg | Chilka-Ispaghol.webp | chilka-ispaghol.png | chilka-ispaghol.jpg | chilka-ispaghol.jpeg | chilka-ispaghol.webp,,Morganics Chilka Ispaghol - چھلکا اسپغول,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
