Handle,Title,Namespace,Key,Type,Value,Source Field,Import Notes
zarishk-imported,Zarishk Imported,custom,urdu_name,single_line_text_field,زرشک امپورٹڈ,urduName/urduTitle,
zarishk-imported,Zarishk Imported,custom,urdu_title,single_line_text_field,زرشک امپورٹڈ,urduTitle,
zarishk-imported,Zarishk Imported,custom,short_description,multi_line_text_field,"Zarishk Imported is a Morganics dry fruits item for tea-time, Ramadan tables, lunch boxes, breakfast bowls and gift trays, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
zarishk-imported,Zarishk Imported,custom,use_cases,list.single_line_text_field,"[""Tea-time serving"",""Ramadan tables"",""Lunch boxes"",""Breakfast bowls"",""Gift trays""]",useCases,
zarishk-imported,Zarishk Imported,custom,benefits,list.single_line_text_field,"[""Natural sweetness"",""Familiar Pakistani dry-fruit routine"",""Easy serving""]",benefits,
zarishk-imported,Zarishk Imported,custom,usage,multi_line_text_field,"Eat as a snack, pair with nuts, add to breakfast, serve at tea-time, or use in desserts and gift boxes.",usage,
zarishk-imported,Zarishk Imported,custom,precautions,multi_line_text_field,"Use sensible portions, especially if managing sugar intake or specific dietary advice. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
zarishk-imported,Zarishk Imported,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
zarishk-imported,Zarishk Imported,custom,faqs,json,"[{""q"":""What is Zarishk Imported?"",""a"":""Zarishk Imported is a Morganics dry fruits product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Zarishk Imported?"",""a"":""Eat as a snack, pair with nuts, add to breakfast, serve at tea-time, or use in desserts and gift boxes.""},{""q"":""How should I store Zarishk Imported?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Zarishk Imported a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
zarishk-imported,Zarishk Imported,custom,keywords,multi_line_text_field,"Zarishk Imported, زرشک امپورٹڈ, Morganics Zarishk Imported, Zarishk Imported Pakistan, buy Zarishk Imported online, Zarishk Imported price in Pakistan, Dry Fruits, Zarishk, Zereshk, Zereshk Imported, Barberries, Pista Maghaz, Kajo Sada, Honey, Sogi Small Mewa",keywords,
zarishk-imported,Zarishk Imported,custom,aliases,list.single_line_text_field,"[""Zarishk"",""Zereshk"",""Zereshk Imported"",""Barberries"",""Zarishk Imported"",""زرشک امپورٹڈ""]",aliases,
zarishk-imported,Zarishk Imported,custom,pairing_ideas,list.single_line_text_field,"[""Pista Maghaz"",""Kajo Sada"",""Honey"",""Sogi Small Mewa""]",pairingIdeas,
zarishk-imported,Zarishk Imported,custom,source_id,single_line_text_field,zarishk,id,
zarishk-imported,Zarishk Imported,custom,source_sku,single_line_text_field,ZAR-100,sku,
kajo-roasted,Kajo Roasted,custom,urdu_name,single_line_text_field,بھنا ہوا کاجو,urduName/urduTitle,
kajo-roasted,Kajo Roasted,custom,urdu_title,single_line_text_field,بھنا ہوا کاجو,urduTitle,
kajo-roasted,Kajo Roasted,custom,short_description,multi_line_text_field,"Kajo Roasted is a Morganics nuts item for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
